month,order_date,identifier,order_num,sub_order_num,quantity,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,end_customer_state,end_customer_pin,gstin,hsn_code,gst_amount,gst_rate,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-15,8icvx,876565515724,876565515724_1,1,Delivered,2023-06-15,AFLOAT,Gujarat,383315,Tamil Nadu,600004,Tamil Nadu,600004,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-11,8icvx,369157267701,369157267701_1,1,Return,2023-06-11,AFLOAT,Gujarat,383315,Uttar Pradesh,null,Uttar Pradesh,275101,24ABVFA4063H1ZA,540710,17.48000000000000,5.00,367,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,367,349.5238095238095,UTTAR PRADESH,2023,6,188451
2023-05-01,2023-06-01,8icvx,461076556397,461076556397_1,1,Delivered,2023-06-01,AFLOAT,Gujarat,383315,India,641603,India,641603,24ABVFA4063H1ZA,540704,14.44000000000000,5.00,303,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,303,288.5714285714286,TAMIL NADU,2023,6,188451
2023-05-01,2023-06-01,8icvx,609958233518,609958233518_1,1,Delivered,2023-06-01,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,600128,24ABVFA4063H1ZA,500720,14.34000000000000,5.00,301,0.000000000000000000,0.00000000000000,64,0,1.050000,60.9523809523810,10.971428571428570,301,286.6666666666666,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-24,8icvx,192956952982,192956952982_1,1,Shipped,2023-06-24,AFLOAT,Gujarat,383315,Kerala,670593,Kerala,670593,24ABVFA4063H1ZA,500720,15.86000000000000,5.00,333,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,333,317.1428571428571,KERALA,2023,6,188451
2023-06-01,2023-06-12,8icvx,649062265144,649062265144_1,1,Delivered,2023-06-13,AFLOAT,Gujarat,383315,Rajasthan,342008,Rajasthan,341001,24ABVFA4063H1ZA,500720,13.90000000000000,5.00,292,0.000000000000000000,0.00000000000000,88,0,1.050000,62.8571428571429,11.314285714285713,270,257.1428571428571,RAJASTHAN,2023,6,188451
2023-06-01,2023-06-05,8icvx,517734122836,517734122836_1,1,Delivered,2023-06-05,AFLOAT,Gujarat,383315,Tamil Nadu,603102,Tamil Nadu,603102,24ABVFA4063H1ZA,5407,23.14000000000000,5.00,486,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,486,462.8571428571428,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-30,8icvx,640551991291,640551991291_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Karnataka,560061,Karnataka,560050,24ABVFA4063H1ZA,540710,9.52000000000000,5.00,200,0.000000000000000000,0.00000000000000,0,73,1.050000,56.1904761904762,10.114285714285714,259,246.6666666666667,KARNATAKA,2023,6,188451
2023-06-01,2023-06-20,8icvx,515787359737,515787359737_1,1,Delivered,2023-06-20,AFLOAT,Gujarat,383315,Andhra Pradesh,533296,Andhra Pradesh,533296,24ABVFA4063H1ZA,540710,10.34000000000000,5.00,217,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,297,282.8571428571428,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-06,8icvx,282231000699,282231000699_1,1,Delivered,2023-06-06,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,631052,24ABVFA4063H1ZA,540710,15.48000000000000,5.00,325,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,325,309.5238095238095,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-30,8icvx,717792099470,717792099470_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Madhya Pradesh,null,Madhya Pradesh,458002,24ABVFA4063H1ZA,540710,9.48000000000000,5.00,199,0.000000000000000000,0.00000000000000,0,86,1.050000,81.9047619047619,14.742857142857140,285,271.4285714285714,MADHYA PRADESH,2023,6,188451
