month,order_date,identifier,order_num,sub_order_num,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,gstin,hsn_code,gst_amount,gst_rate,end_customer_pin,end_customer_state,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,quantity,penalty,cancel_return_date,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-21,8icvx,459192142112,459192142112_1,rto,2023-06-21,AFLOAT,Gujarat,383315,Uttar Pradesh,null,24ABVFA4063H1ZA,540710,13.52000000000000,5.00,225412,Uttar Pradesh,284,0.000000000000000000,0.00000000000000,65,0,1,0.0,2023-06-30,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,UTTAR PRADESH,2023,6,188451
2023-06-01,2023-06-03,8icvx,501066264756,501066264756_1,Return,2023-06-04,AFLOAT,Gujarat,383315,Assam,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,788121,Assam,219,0.000000000000000000,0.00000000000000,0,77,1,0.0,2023-06-12,1.050000,73.3333333333333,13.200000000000000,296,281.9047619047619,ASSAM,2023,6,188451
2023-06-01,2023-06-21,8icvx,937815982897,937815982897_1,rto,2023-06-21,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,540710,15.38000000000000,5.00,603308,Tamil Nadu,323,0.000000000000000000,0.00000000000000,104,0,1,0.0,2023-06-27,1.050000,99.0476190476190,17.828571428571426,323,307.6190476190476,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-15,8icvx,800305478410,800305478410_1,rto,2023-06-15,AFLOAT,Gujarat,383315,Telangana,502108,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,502107,Telangana,274,0.000000000000000000,0.00000000000000,63,0,1,0.0,2023-06-22,1.050000,60.0000000000000,10.799999999999999,274,260.9523809523810,TELANGANA,2023,6,188451
2023-06-01,2023-06-15,8icvx,752273484368,752273484368_1,rto,2023-06-15,AFLOAT,Gujarat,383315,Bihar,null,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,841311,Bihar,218,0.000000000000000000,0.00000000000000,0,73,1,0.0,2023-06-22,1.050000,69.5238095238095,12.514285714285712,291,277.1428571428571,BIHAR,2023,6,188451
2023-06-01,2023-06-11,8icvx,221514579999,221514579999_1,rto,2023-06-11,AFLOAT,Gujarat,383315,Tamil Nadu,635751,24ABVFA4063H1ZA,500720,13.90000000000000,5.00,635751,Tamil Nadu,292,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-20,1.050000,83.8095238095238,15.085714285714285,292,278.0952380952381,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-11,8icvx,839909833070,839909833070_1,Return,2023-06-11,AFLOAT,Gujarat,383315,Haryana,null,24ABVFA4063H1ZA,500720,14.24000000000000,5.00,125120,Haryana,299,0.000000000000000000,0.00000000000000,97,0,1,0.0,2023-06-19,1.050000,92.3809523809524,16.628571428571426,299,284.7619047619048,HARYANA,2023,6,188451
2023-06-01,2023-06-04,8icvx,591667855426,591667855426_1,rto,2023-06-05,AFLOAT,Gujarat,383315,Karnataka,560032,24ABVFA4063H1ZA,5407,15.48000000000000,5.00,560032,Karnataka,325,0.000000000000000000,0.00000000000000,99,0,1,0.0,2023-06-12,1.050000,94.2857142857143,16.971428571428568,325,309.5238095238095,KARNATAKA,2023,6,188451
2023-06-01,2023-06-07,8icvx,578494407768,578494407768_1,rto,2023-06-07,AFLOAT,Gujarat,383315,West Bengal,null,24ABVFA4063H1ZA,500720,14.30000000000000,5.00,712407,West Bengal,300,0.000000000000000000,0.00000000000000,64,0,1,0.0,2023-06-17,1.050000,60.9523809523810,10.971428571428570,300,285.7142857142857,WEST BENGAL,2023,6,188451
2023-06-01,2023-06-01,8icvx,829398611465,829398611465_1,rto,2023-06-01,AFLOAT,Gujarat,383315,Karnataka,581118,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,582210,Karnataka,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-13,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,KARNATAKA,2023,6,188451
2023-06-01,2023-06-03,8icvx,228013369543,228013369543_1,rto,2023-06-04,AFLOAT,Gujarat,383315,Jharkhand,622201,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,622202,Jharkhand,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-21,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-12,8icvx,530254698785,530254698785_1,rto,2023-06-12,AFLOAT,Gujarat,383315,Tamil Nadu,600052,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,600052,Tamil Nadu,218,0.000000000000000000,0.00000000000000,0,80,1,0.0,2023-06-17,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-07,8icvx,317863745636,317863745636_1,rto,2023-06-07,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,17.00000000000000,5.00,523263,Andhra Pradesh,357,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-17,1.050000,83.8095238095238,15.085714285714285,357,340.0000000000000,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-04,8icvx,829760716007,829760716007_1,rto,2023-06-04,AFLOAT,Gujarat,383315,Maharashtra,415305,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,415305,Maharashtra,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-22,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,MAHARASHTRA,2023,6,188451
2023-06-01,2023-06-18,8icvx,902475485748,902475485748_1,rto,2023-06-18,AFLOAT,Gujarat,383315,Bihar,800011,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,800011,Bihar,219,0.000000000000000000,0.00000000000000,0,64,1,0.0,2023-06-23,1.050000,60.9523809523810,10.971428571428570,283,269.5238095238095,BIHAR,2023,6,188451
2023-06-01,2023-06-17,8icvx,387673777140,387673777140_1,rto,2023-06-17,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,517152,Andhra Pradesh,218,0.000000000000000000,0.00000000000000,0,80,1,0.0,2023-06-24,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
